iter	Passed	Remaining
0	110708	1660629
1	211262	1478838
2	417010	1807046
3	632465	1897395
4	766325	1685915
5	892304	1487174
6	1136582	1461320
7	1401353	1401353
8	1634157	1271011
9	1852772	1111663
10	2317933	1053606
11	2759169	919723
12	3349285	772912
13	3967675	566810
14	4979427	331961
15	6113887	0
