iter	Passed	Remaining
0	255	510161
1	402	401672
2	555	370036
3	699	348995
4	831	331798
5	972	323076
6	1184	337329
7	1400	348676
8	1578	349152
9	1726	343556
10	1912	345806
11	2166	358954
12	2385	364666
13	2614	370891
14	2812	372149
15	2969	368265
16	3193	372478
17	3463	381335
18	3656	381210
19	3877	383890
20	4125	388811
21	4385	394280
22	4574	393245
23	4794	394787
24	4969	392625
25	5229	397039
26	5461	399110
27	5653	398196
28	5795	393925
29	5923	388988
30	6125	389085
31	6257	384846
32	6373	379923
33	6537	378019
34	6723	377490
35	6927	377918
36	7105	376968
37	7299	376870
38	7436	373899
39	7546	369769
40	7646	365375
41	7757	361629
42	8013	364728
43	8128	361364
44	8264	359063
45	8375	355785
46	8483	352505
47	8596	349586
48	8800	350411
49	8915	347706
50	9093	347514
51	9290	348028
52	9535	350301
53	9630	347043
54	9729	344087
55	9887	343240
56	10036	342106
57	10129	339174
58	10224	336381
59	10345	334510
60	10451	332221
61	10575	330577
62	10670	328090
63	10764	325634
64	10945	325825
65	11052	323877
66	11238	324245
67	11359	322754
68	11578	324043
69	11724	323251
70	11829	321404
71	11933	319539
72	12030	317562
73	12125	315582
74	12220	313650
75	12324	312005
76	12454	311050
77	12547	309175
78	12652	307655
79	12759	306222
80	12912	305916
81	13137	307292
82	13236	305722
83	13348	304477
84	13454	303132
85	13567	301963
86	13667	300532
87	13769	299181
88	13856	297529
89	13948	296008
90	14057	294892
91	14282	296208
92	14430	295905
93	14614	296327
94	14723	295252
95	14866	294858
96	14976	293819
97	15083	292736
98	15178	291460
99	15369	292027
100	15464	290758
101	15572	289775
102	15684	288860
103	15799	288040
104	15899	286947
105	15992	285744
106	16144	285617
107	16265	284952
108	16355	283748
109	16493	283388
110	16608	282646
111	16726	281956
112	16833	281108
113	17001	281266
114	17125	280711
115	17244	280071
116	17352	279267
117	17516	279369
118	17615	278440
119	17751	278103
120	17852	277228
121	17963	276523
122	18097	276166
123	18296	276809
124	18397	275969
125	18514	275365
126	18626	274706
127	18744	274141
128	18862	273574
129	18958	272708
130	19051	271804
131	19154	271059
132	19251	270250
133	19493	271459
134	19586	270579
135	19705	270086
136	19805	269323
137	19900	268518
138	20001	267786
139	20110	267177
140	20225	266659
141	20342	266169
142	20444	265490
143	20541	264757
144	20643	264097
145	20748	263475
146	20843	262744
147	20979	262523
148	21076	261824
149	21183	261261
150	21343	261351
151	21451	260803
152	21549	260145
153	21655	259586
154	21750	258899
155	21842	258188
156	22001	258275
157	22172	258489
158	22287	258052
159	22410	257720
160	22518	257209
161	22616	256600
162	22713	255983
163	22820	255473
164	22911	254805
165	23036	254512
166	23190	254540
167	23284	253916
168	23427	253822
169	23527	253262
170	23634	252788
171	23739	252302
172	23854	251915
173	23967	251517
174	24086	251190
175	24189	250686
176	24291	250186
177	24401	249768
178	24508	249332
179	24617	248914
180	24727	248499
181	24830	248030
182	24937	247600
183	25087	247605
184	25204	247278
185	25306	246803
186	25407	246332
187	25522	245991
188	25710	246355
189	25805	245835
190	25927	245569
191	26090	245686
192	26204	245342
193	26307	244902
194	26409	244457
195	26518	244082
196	26658	243985
197	26755	243498
198	26876	243237
199	26978	242804
200	27080	242379
201	27247	242529
202	27347	242087
203	27526	242339
204	27619	241840
205	27717	241388
206	27827	241035
207	27921	240550
208	28031	240213
209	28126	239740
210	28229	239344
211	28382	239373
212	28483	238964
213	28575	238487
214	28672	238045
215	28772	237641
216	28881	237306
217	28974	236844
218	29072	236430
219	29171	236022
220	29268	235607
221	29361	235160
222	29462	234777
223	29602	234702
224	29700	234306
225	29796	233891
226	29898	233521
227	30045	233508
228	30134	233050
229	30231	232653
230	30376	232622
231	30487	232335
232	30582	231930
233	30681	231554
234	30788	231244
235	30885	230854
236	30975	230419
237	31072	230039
238	31166	229641
239	31269	229309
240	31393	229130
241	31485	228727
242	31595	228446
243	31693	228086
244	31820	227936
245	31943	227760
246	32047	227444
247	32150	227130
248	32247	226768
249	32356	226497
250	32496	226437
251	32595	226102
252	32727	225985
253	32822	225619
254	32919	225270
255	33052	225170
256	33154	224854
257	33252	224520
258	33364	224274
259	33460	223930
260	33558	223593
261	33644	223184
262	33740	222840
263	33844	222556
264	33935	222180
265	34035	221873
266	34176	221824
267	34280	221543
268	34390	221299
269	34521	221191
270	34642	221020
271	34747	220747
272	34851	220468
273	34967	220270
274	35083	220067
275	35183	219770
276	35284	219479
277	35403	219296
278	35507	219028
279	35640	218933
280	35830	219189
281	35946	218995
282	36037	218642
283	36146	218403
284	36294	218405
285	36420	218270
286	36556	218195
287	36685	218074
288	36793	217835
289	36899	217577
290	36998	217288
291	37099	217005
292	37202	216737
293	37297	216429
294	37402	216171
295	37614	216538
296	37710	216234
297	37809	215946
298	37950	215900
299	38070	215734
300	38177	215494
301	38283	215251
302	38379	214952
303	38493	214751
304	38588	214449
305	38695	214214
306	38790	213917
307	38884	213610
308	39006	213465
309	39142	213387
310	39236	213089
311	39328	212774
312	39435	212546
313	39580	212523
314	39717	212456
315	39811	212162
316	39912	211899
317	40011	211632
318	40118	211408
319	40268	211408
320	40392	211272
321	40488	210991
322	40592	210756
323	40740	210745
324	40857	210570
325	40951	210282
326	41043	209986
327	41143	209731
328	41263	209578
329	41366	209342
330	41487	209193
331	41580	208904
332	41706	208781
333	41801	208506
334	41894	208223
335	42029	208144
336	42123	207869
337	42241	207709
338	42354	207523
339	42453	207273
340	42560	207063
341	42655	206791
342	42758	206559
343	42860	206330
344	42958	206076
345	43053	205808
346	43161	205609
347	43278	205450
348	43371	205177
349	43487	205012
350	43587	204773
351	43685	204529
352	43800	204362
353	43920	204218
354	44018	203973
355	44118	203738
356	44230	203558
357	44328	203316
358	44461	203236
359	44561	203002
360	44666	202794
361	44773	202595
362	44883	202410
363	45013	202313
364	45160	202296
365	45318	202324
366	45463	202295
367	45563	202064
368	45656	201802
369	45751	201555
370	45864	201385
371	45971	201185
372	46065	200934
373	46165	200710
374	46267	200493
375	46429	200534
376	46527	200303
377	46639	200129
378	46745	199931
379	46862	199780
380	46974	199611
381	47079	199410
382	47176	199176
383	47302	199063
384	47427	198947
385	47554	198843
386	47660	198648
387	47754	198402
388	47867	198237
389	47992	198123
390	48105	197956
391	48242	197891
392	48377	197817
393	48472	197581
394	48607	197504
395	48739	197419
396	48843	197220
397	48951	197037
398	49064	196871
399	49163	196652
400	49294	196562
401	49412	196419
402	49510	196200
403	49630	196064
404	49716	195798
405	49808	195554
406	49906	195333
407	50017	195165
408	50106	194914
409	50230	194796
410	50333	194596
411	50427	194366
412	50531	194173
413	50636	193985
414	50730	193753
415	50821	193512
416	50920	193302
417	51036	193158
418	51161	193045
419	51266	192860
420	51369	192667
421	51460	192426
422	51555	192207
423	51674	192072
424	51778	191883
425	51876	191673
426	51973	191462
427	52070	191248
428	52204	191171
429	52336	191089
430	52438	190894
431	52532	190672
432	52650	190540
433	52751	190342
434	52846	190125
435	52994	190098
436	53104	189935
437	53206	189745
438	53327	189621
439	53438	189462
440	53545	189292
441	53647	189100
442	53734	188860
443	53880	188825
444	53992	188670
445	54094	188480
446	54196	188294
447	54340	188249
448	54480	188194
449	54599	188064
450	54705	187889
451	54872	187927
452	54980	187760
453	55089	187595
454	55189	187401
455	55287	187201
456	55384	186998
457	55515	186909
458	55631	186771
459	55735	186593
460	55832	186389
461	55933	186202
462	56060	186101
463	56162	185918
464	56265	185737
465	56378	185590
466	56485	185422
467	56598	185276
468	56710	185123
469	56826	184989
470	56946	184863
471	57042	184663
472	57134	184450
473	57232	184255
474	57335	184075
475	57440	183906
476	57543	183729
477	57658	183589
478	57763	183420
479	57860	183225
480	57968	183066
481	58073	182894
482	58171	182704
483	58286	182565
484	58416	182477
485	58529	182332
486	58641	182185
487	58756	182049
488	58880	181938
489	59036	181929
490	59136	181745
491	59251	181608
492	59354	181434
493	59492	181366
494	59623	181278
495	59724	181099
496	59831	180939
497	59954	180826
498	60074	180706
499	60182	180548
500	60278	180355
501	60376	180168
502	60485	180014
503	60591	179849
504	60693	179677
505	60829	179603
506	60946	179473
507	61111	179483
508	61214	179313
509	61361	179271
510	61478	179141
511	61581	178970
512	61689	178814
513	61790	178639
514	61894	178472
515	61994	178293
516	62106	178151
517	62209	177981
518	62362	177956
519	62477	177821
520	62585	177665
521	62683	177483
522	62806	177372
523	62919	177232
524	63014	177041
525	63117	176872
526	63217	176698
527	63313	176511
528	63441	176412
529	63551	176264
530	63659	176112
531	63767	175959
532	63906	175893
533	64023	175765
534	64136	175627
535	64233	175445
536	64353	175325
537	64462	175174
538	64602	175109
539	64780	175148
540	64911	175056
541	65028	174928
542	65148	174808
543	65251	174644
544	65368	174516
545	65467	174340
546	65588	174222
547	65722	174141
548	65825	173977
549	65934	173827
550	66052	173703
551	66152	173531
552	66250	173354
553	66352	173186
554	66456	173025
555	66583	172926
556	66680	172747
557	66793	172609
558	66915	172495
559	67042	172394
560	67244	172487
561	67366	172370
562	67486	172251
563	67645	172232
564	67752	172080
565	67879	171977
566	67985	171821
567	68089	171663
568	68192	171498
569	68316	171391
570	68470	171354
571	68576	171200
572	68699	171089
573	68800	170923
574	68912	170783
575	69033	170666
576	69210	170686
577	69316	170532
578	69442	170427
579	69599	170398
580	69749	170351
581	69853	170193
582	69977	170083
583	70094	169954
584	70198	169795
585	70303	169640
586	70421	169516
587	70519	169343
588	70618	169171
589	70719	169007
590	70832	168872
591	70933	168707
592	71045	168568
593	71196	168521
594	71300	168364
595	71431	168271
596	71545	168137
597	71712	168129
598	71828	168000
599	71934	167846
600	72043	167701
601	72149	167548
602	72259	167406
603	72380	167289
604	72501	167172
605	72639	167094
606	72754	166963
607	72872	166839
608	72975	166680
609	73085	166540
610	73245	166510
611	73338	166328
612	73452	166195
613	73618	166180
614	73729	166040
615	73842	165906
616	73958	165776
617	74067	165633
618	74202	165546
619	74330	165445
620	74477	165384
621	74592	165255
622	74696	165098
623	74797	164937
624	74903	164787
625	75007	164633
626	75142	164545
627	75246	164392
628	75362	164263
629	75472	164122
630	75581	163979
631	75692	163839
632	75802	163698
633	75925	163586
634	76034	163444
635	76139	163292
636	76244	163141
637	76422	163146
638	76539	163021
639	76648	162877
640	76798	162822
641	76916	162699
642	77026	162558
643	77128	162400
644	77286	162362
645	77395	162219
646	77533	162136
647	77648	162007
648	77751	161852
649	77865	161720
650	77967	161564
651	78092	161454
652	78209	161328
653	78345	161242
654	78492	161178
655	78603	161040
656	78711	160898
657	78819	160752
658	78941	160637
659	79051	160499
660	79165	160367
661	79269	160215
662	79382	160081
663	79491	159940
664	79599	159798
665	79714	159667
666	79832	159545
667	79958	159438
668	80075	159312
669	80193	159189
670	80337	159118
671	80498	159080
672	80620	158964
673	80741	158848
674	80867	158739
675	80978	158603
676	81114	158515
677	81220	158368
678	81331	158230
679	81446	158102
680	81581	158012
681	81686	157863
682	81824	157778
683	81932	157637
684	82036	157485
685	82143	157342
686	82254	157204
687	82363	157066
688	82470	156922
689	82594	156810
690	82722	156706
691	82870	156639
692	83020	156576
693	83174	156520
694	83282	156379
695	83423	156299
696	83584	156256
697	83700	156128
698	83811	155992
699	83955	155916
700	84065	155779
701	84175	155639
702	84289	155509
703	84412	155396
704	84517	155248
705	84631	155117
706	84745	154987
707	84858	154853
708	84976	154731
709	85105	154629
710	85219	154497
711	85334	154368
712	85437	154218
713	85581	154141
714	85720	154057
715	85839	153935
716	86034	153950
717	86175	153868
718	86290	153738
719	86390	153583
720	86500	153445
721	86623	153331
722	86746	153215
723	86889	153136
724	87033	153058
725	87144	152922
726	87260	152796
727	87376	152668
728	87492	152541
729	87602	152403
730	87708	152259
731	87818	152122
732	87950	152023
733	88058	151883
734	88170	151749
735	88281	151613
736	88400	151491
737	88561	151441
738	88707	151366
739	88812	151222
740	88981	151183
741	89088	151042
742	89198	150905
743	89332	150808
744	89441	150669
745	89546	150524
746	89667	150405
747	89772	150260
748	89910	150171
749	90052	150086
750	90174	149970
751	90290	149843
752	90430	149756
753	90540	149620
754	90648	149480
755	90763	149352
756	90935	149317
757	91057	149199
758	91167	149063
759	91281	148932
760	91397	148806
761	91528	148704
762	91668	148615
763	91769	148464
764	91902	148365
765	92024	148247
766	92137	148116
