iter	Accuracy	Logloss
0	0.875745625	0.5883557947
1	0.8806392049	0.5151646834
2	0.8878807912	0.4561326709
3	0.8894461288	0.4139573051
4	0.889803269	0.3847857646
5	0.8913990015	0.3586221918
6	0.8927059825	0.3399922517
7	0.9055858238	0.3042416388
8	0.910221047	0.2856392144
9	0.9104186138	0.2774891053
10	0.9144079452	0.2606975821
11	0.9162316396	0.2511909223
12	0.9176146078	0.2435289275
13	0.9185492511	0.236577384
14	0.919415506	0.2308386388
15	0.9199626143	0.227188549
16	0.9207680793	0.2243351678
17	0.9215355506	0.219912709
18	0.9219914742	0.2171789188
19	0.9222346335	0.2140387748
20	0.9229945061	0.2117181207
21	0.9240127355	0.2078558306
22	0.9245370476	0.2062720007
23	0.9250841559	0.2040826028
24	0.9254109011	0.2025493371
25	0.9261783725	0.1996384461
26	0.9265583088	0.1984889458
27	0.9271282133	0.1968549227
28	0.9277133152	0.1955293308
29	0.9280324618	0.194072275
30	0.928275621	0.192379451
31	0.928777137	0.1912781847
32	0.9293622389	0.1899515688
33	0.9297801688	0.1884429693
34	0.9304032644	0.187595088
35	0.930859188	0.1867581892
36	0.9315202772	0.1855136306
37	0.9316570543	0.1844402066
38	0.9321053791	0.1831887616
39	0.9324321244	0.1820791398
40	0.9327968632	0.1812237339
41	0.9330400225	0.1807276647
42	0.9337315066	0.1788827919
43	0.9341266404	0.1776901629
44	0.9344609843	0.177113001
45	0.9347421372	0.1763430066
46	0.9348257232	0.1759112743
47	0.9350460863	0.1753808179
48	0.9352968442	0.1748551404
49	0.9358895449	0.1740341514
50	0.9362390863	0.1730657887
51	0.9366342201	0.1718071161
52	0.9370217552	0.1712863658
53	0.937219322	0.1708113119
54	0.937302908	0.1704855165
55	0.93747008	0.1699948643
56	0.9378728125	0.1694867292
57	0.9379791947	0.169281801
58	0.937971596	0.1689057383
59	0.9383059399	0.1678804
60	0.9386174877	0.1671548997
61	0.9389442329	0.1665758381
62	0.9390126215	0.1663606844
63	0.9391797935	0.1659609498
64	0.9396205196	0.1652153396
65	0.9397952903	0.164713601
66	0.9398940738	0.1645305786
67	0.9401220355	0.164304561
68	0.9402892075	0.1636848195
69	0.9404107872	0.1633161181
70	0.940524768	0.1628333615
71	0.9406615451	0.1624981716
72	0.9408287171	0.1622032608
73	0.9410034878	0.1617607092
74	0.9410718764	0.1613734265
75	0.9412390483	0.1607253382
76	0.9415202012	0.160370543
77	0.9416189847	0.1599306776
78	0.9417405643	0.159714574
79	0.9420445133	0.15914182
80	0.9420217172	0.1587563479
81	0.9422040866	0.158493806
82	0.9424016535	0.157990331
83	0.9428499783	0.1574221184
84	0.9430247491	0.1570733042
85	0.9433135007	0.1566340919
86	0.9434806726	0.1562753786
87	0.9438530102	0.1553687258
88	0.9440581758	0.1551074899
89	0.9442557427	0.1549030664
90	0.9442861376	0.1547461497
91	0.9443013351	0.1544417702
92	0.9444001185	0.1541662719
93	0.9446508765	0.1538658105
94	0.9447952523	0.1536265991
95	0.9449320294	0.1533355322
96	0.9449776218	0.1530876238
97	0.9450080167	0.1529656731
98	0.9450764052	0.1526759568
99	0.9452359785	0.1523150618
100	0.9454107492	0.1521364621
101	0.9455323288	0.1519859865
102	0.9456007173	0.1517995506
103	0.9456767046	0.1515220041
104	0.9459730549	0.1512005869
105	0.9461858193	0.1509198199
106	0.9464593734	0.1505180521
107	0.9466265454	0.1502453142
108	0.9466949339	0.1499715077
109	0.9467861186	0.1498368381
110	0.946915297	0.1493428022
111	0.9469760868	0.1491538581
112	0.9473940168	0.1486390889
113	0.9474092142	0.1483519253
114	0.9474016155	0.1482286686
115	0.9475991824	0.1480133219
116	0.9477435582	0.1476714979
117	0.9478347429	0.1474398258
118	0.9484578385	0.1462036822
119	0.9485338257	0.1460489324
120	0.9485794181	0.1459540967
121	0.9486478066	0.1457895368
122	0.948860571	0.1453992412
123	0.9490505391	0.1449447127
124	0.9491037302	0.1448111859
125	0.9491873162	0.1446026662
126	0.9493924818	0.1443534072
127	0.9495292589	0.1442584379
128	0.9495444563	0.1440329843
129	0.9495900487	0.1439083028
130	0.9496812334	0.1438130071
131	0.9497116283	0.1436520536
132	0.9497800169	0.1434027946
133	0.9498104118	0.1427511296
134	0.9500383736	0.1425260915
135	0.9501675519	0.1423498961
136	0.9502055456	0.142179088
137	0.9502967303	0.1420667099
138	0.9503955137	0.1418308526
139	0.9504031124	0.1417302288
140	0.9503803163	0.1416222438
141	0.9504335073	0.1414388948
142	0.9504942972	0.1413229846
143	0.9505322908	0.1412253439
144	0.9505170933	0.1410275544
145	0.9507374564	0.1408395305
146	0.9509122271	0.1405736047
147	0.9508742335	0.1403910572
148	0.9509882144	0.140264476
149	0.9510414055	0.1401839919
150	0.9511857813	0.1399619072
151	0.9513225583	0.1397925536
152	0.9514289405	0.1396325351
153	0.9515125265	0.1395095159
154	0.9515885138	0.1393869716
155	0.9516113099	0.1392999572
156	0.9516037112	0.1392040678
157	0.9516872972	0.1391072286
158	0.9517936794	0.1388705105
159	0.9518164756	0.138692534
160	0.9518772654	0.1385859441
161	0.9519456539	0.1384225269
162	0.9520140424	0.1383174656
