iter	Accuracy	Logloss
0	0.7966711957	0.6510880311
1	0.8120652174	0.5992132298
2	0.820767663	0.561968395
3	0.8261480978	0.5335882119
4	0.8540896739	0.4908828203
5	0.8504279891	0.4881178346
6	0.8653057065	0.4570635797
7	0.8619701087	0.4548168428
8	0.8619225543	0.4444377406
9	0.8744972826	0.4159037887
10	0.8739605978	0.4121768666
11	0.8747146739	0.4021716983
12	0.8769089674	0.3947182988
13	0.8766100543	0.3945480067
14	0.8764130435	0.3919284127
15	0.8779008152	0.3851190246
16	0.8765081522	0.3901518552
17	0.875326087	0.3947354936
18	0.8779891304	0.3835975778
19	0.8765149457	0.3848182929
20	0.8762432065	0.3856580194
21	0.8774184783	0.3829715859
22	0.8783695652	0.3759730151
23	0.8779891304	0.3801989501
24	0.8802445652	0.3729689917
25	0.8801766304	0.3778002852
26	0.8799660326	0.3713898389
27	0.8794836957	0.3786010681
28	0.8789538043	0.3725355313
29	0.8778125	0.3782247328
30	0.8767391304	0.3841293372
31	0.8765625	0.3845412313
32	0.8781861413	0.3772731074
33	0.8771875	0.3844658897
34	0.8774524457	0.3841919678
35	0.8822690217	0.3734219728
36	0.881576087	0.3691770063
37	0.8819021739	0.3704450256
38	0.8820720109	0.3724066123
39	0.8815285326	0.3672495286
40	0.8813111413	0.3620346399
41	0.8805434783	0.3619446625
