iter	Passed	Remaining
0	3309	6616630
1	8261	8252833
2	13511	8994145
3	18398	9181055
4	22792	9094357
5	26444	8788261
6	30647	8725759
7	34612	8618404
8	39003	8628439
9	43227	8602275
10	47580	8603345
11	51902	8598461
12	56491	8634560
13	60423	8571516
14	64595	8548155
15	68807	8532142
16	72401	8445439
17	76014	8370061
18	79855	8325939
19	84296	8345308
20	88610	8350506
21	93916	8443983
22	98450	8462430
23	102382	8429479
24	106481	8412057
25	110567	8394595
26	114743	8384738
27	118486	8344811
28	122694	8338967
29	126331	8295781
30	130130	8265385
31	134192	8252816
32	138301	8243585
33	142021	8212203
34	146548	8227632
35	150958	8235614
36	155090	8228163
37	159349	8227486
38	163518	8222064
39	167533	8209117
40	171540	8196268
41	175591	8185924
