iter	Passed	Remaining
0	263	526875
1	438	437614
2	617	411305
3	780	389436
4	942	376030
5	1094	363720
6	1307	372171
7	1484	369758
8	1709	378097
9	1937	385507
10	2090	378038
11	2291	379644
12	2540	388270
13	2816	399599
14	3068	406078
15	3363	417124
16	3582	417894
17	3845	423464
18	4167	434539
19	4395	435150
20	4672	440347
21	4933	443559
22	5206	447513
23	5403	444861
24	5654	446703
25	5851	444256
26	6012	439368
27	6297	443521
28	6479	440374
29	6643	436224
30	6901	438349
31	7110	437320
32	7287	434357
33	7435	429966
34	7553	424049
35	7716	420964
36	7880	418067
37	8129	419742
38	8350	419905
39	8681	425371
40	8871	423879
41	9009	420028
42	9130	415531
43	9249	411193
44	9517	413462
45	9712	412561
46	9964	414061
47	10179	413982
48	10298	410043
49	10407	405897
50	10521	402094
51	10711	401277
52	10893	400194
53	11000	396434
54	11168	394941
55	11383	395164
56	11514	392496
57	11740	393108
58	11850	389855
59	11999	387977
60	12121	385290
61	12232	382370
62	12372	380394
63	12487	377761
64	12632	376061
65	12813	375461
66	12942	373393
67	13083	371713
68	13190	369154
69	13333	367628
70	13448	365390
71	13548	362809
72	13687	361304
73	13810	359444
74	13915	357172
75	14051	355734
76	14177	354075
77	14295	352252
78	14471	351896
79	14628	351092
80	14745	349348
81	14850	347364
82	14956	345435
83	15082	344025
84	15188	342185
85	15345	341524
86	15444	339605
87	15583	338587
88	15691	336927
89	15808	335492
90	15926	334109
91	16043	332721
92	16148	331140
93	16291	330330
94	16396	328789
95	16548	328214
96	16683	327305
97	16829	326620
98	16959	325658
99	17187	326567
100	17313	325522
101	17458	324860
102	17578	323747
103	17717	323010
104	17821	321642
105	17944	320629
106	18046	319264
107	18268	320032
108	18390	319058
109	18495	317779
110	18617	316834
111	18763	316302
112	18926	316052
113	19108	316120
114	19235	315295
115	19353	314323
116	19485	313594
117	19587	312400
118	19705	311479
119	19819	310502
120	19928	309460
121	20080	309115
122	20188	308083
123	20312	307304
124	20432	306484
125	20556	305732
126	20667	304798
127	20775	303845
128	20914	303338
129	21039	302645
130	21159	301879
131	21263	300911
132	21368	299956
133	21502	299434
134	21636	298898
135	21751	298119
136	21875	297471
137	22018	297092
138	22199	297218
139	22324	296598
140	22497	296610
141	22610	295842
142	22731	295191
143	22841	294397
144	22970	293858
145	23078	293059
146	23203	292488
147	23324	291867
148	23433	291111
149	23686	292132
150	23806	291506
151	23949	291178
152	24071	290594
153	24209	290204
154	24327	289577
155	24444	288941
156	24562	288339
157	24709	288068
158	24835	287561
159	24959	287038
160	25088	286573
161	25205	285974
162	25309	285238
163	25434	284742
164	25593	284631
165	25715	284111
166	25845	283676
167	25979	283296
168	26104	282825
169	26426	284475
170	26538	283848
171	26675	283504
172	26793	282960
173	26917	282479
174	27113	282756
175	27300	282936
176	27422	282435
177	27531	281809
178	27649	281280
179	27796	281049
180	27914	280532
181	28046	280158
182	28186	279863
