iter	Accuracy	Logloss
0	0.8639197148	0.6248351789
1	0.8697015129	0.5677106124
2	0.8778003343	0.5201680335
3	0.880124531	0.4796037612
4	0.8828145736	0.4490787837
5	0.8846509759	0.423429032
6	0.8852965862	0.4024908617
7	0.8853468003	0.383522363
8	0.8864084704	0.3690230337
9	0.8923696047	0.347586421
10	0.8959706749	0.3312748717
11	0.9019031154	0.3114428973
12	0.9044066484	0.2992033719
13	0.9072401598	0.286045253
14	0.9079288107	0.2792857646
15	0.9090335215	0.2723497981
16	0.9099588962	0.2676469593
17	0.9104682109	0.2626782545
18	0.9110779538	0.2584159662
19	0.9113577183	0.2543457357
20	0.9116446561	0.2510381883
21	0.912139624	0.2480752746
22	0.9122185319	0.2455281686
23	0.9127493669	0.2422528176
24	0.913007611	0.2403506493
25	0.9136603947	0.2387661582
26	0.914019067	0.2360625253
27	0.9146790241	0.2333034244
28	0.9149874823	0.2319387041
29	0.9152959405	0.230194828
30	0.9156617863	0.228664418
31	0.9162787028	0.2266771491
32	0.9165943344	0.2256442568
33	0.9168884457	0.2246235678
34	0.9170462616	0.2237776054
35	0.9174694949	0.222070129
36	0.9175412294	0.2212402228
37	0.918194013	0.2197815192
38	0.9188181029	0.218432617
39	0.919205469	0.2167994249
40	0.9194565397	0.2159807974
41	0.9198941199	0.2145929316
42	0.9202527923	0.2136278648
43	0.9206616787	0.2126874988
44	0.9207836273	0.2121362082
45	0.9209414432	0.2114561738
46	0.9212570748	0.2105124873
47	0.9216229206	0.2094122179
48	0.9221250619	0.2084242857
49	0.9222972246	0.2079114263
50	0.9224909077	0.2070340942
51	0.9227348048	0.2061307022
52	0.9227491517	0.2053135598
53	0.9230360896	0.2048307392
54	0.9232154258	0.2043275891
55	0.9233588947	0.2036833379
56	0.9234880168	0.2028534458
57	0.9237534343	0.2017854429
58	0.9240905863	0.2011262424
59	0.9244636055	0.2002666897
60	0.9244062179	0.1998190218
61	0.924664462	0.198851335
62	0.9248940123	0.1984885155
63	0.9252311643	0.197975488
64	0.9254678881	0.1975037218
65	0.9256902649	0.1971682511
66	0.9259556824	0.1960673932
67	0.926077631	0.1956714105
68	0.9260991514	0.195334917
69	0.9262569672	0.1944490944
70	0.9265869458	0.1940240817
71	0.9266945475	0.1936875182
72	0.9271393012	0.1931348265
73	0.9273545046	0.192509854
74	0.9274836266	0.1922448007
75	0.927569708	0.1919516561
76	0.9278853396	0.1915239394
77	0.9281077165	0.1912125529
78	0.9283659606	0.1906232375
79	0.9284663888	0.1903712001
80	0.9286887657	0.1899741386
81	0.9287820205	0.1895910878
82	0.9287891939	0.1893577126
83	0.9288824487	0.1889204125
84	0.92938459	0.1879573913
85	0.9295567527	0.1875933949
86	0.9297002217	0.1871744208
87	0.9298867313	0.1867435797
88	0.9300086799	0.1864440742
89	0.9301521488	0.1858258268
90	0.9303099646	0.185201821
91	0.9305610353	0.1847655157
92	0.930604076	0.184511643
93	0.9307762387	0.1842873046
94	0.9308766669	0.1840842484
95	0.9309627483	0.1838750416
96	0.9310631765	0.1836634529
97	0.9312927268	0.1833759126
98	0.9314146754	0.1831099066
99	0.9316083585	0.1828473893
100	0.9317948681	0.1825479679
101	0.9319885512	0.1821959366
102	0.9320244184	0.1820051118
103	0.9320531122	0.1818156599
104	0.9321678873	0.1816202956
105	0.9322252749	0.1811122698
106	0.9326341614	0.1807459197
107	0.9328350179	0.1804493985
108	0.9328995789	0.1801815992
109	0.9331004354	0.1798583317
110	0.9332367309	0.1796502317
111	0.9332941185	0.1794426221
112	0.9334591078	0.1791207837
113	0.9335810564	0.1789175594
114	0.9337532191	0.1787052982
115	0.9337245253	0.1784659685
