iter	Passed	Remaining
0	341	682705
1	494	493761
2	644	428722
3	789	393946
4	934	372671
5	1070	355845
6	1205	343277
7	1390	346269
8	1584	350435
9	1802	358670
10	1953	353266
11	2141	354852
12	2356	360154
13	2504	355340
14	2692	356350
15	2923	362568
16	3121	364141
17	3303	363742
18	3515	366526
19	3755	371781
20	4013	378234
21	4177	375571
22	4372	375830
23	4578	376928
24	4734	374030
25	4916	373253
26	5086	371668
27	5335	375771
28	5484	372754
29	5646	370817
30	5871	372918
31	6018	370153
32	6165	367502
33	6323	365662
34	6523	366234
35	6735	367436
36	6865	364217
37	7041	363581
38	7315	367847
39	7449	365038
40	7653	365702
41	7754	361511
42	7889	359076
43	8001	355714
44	8216	356941
45	8315	353241
46	8409	349456
47	8519	346456
48	8672	345297
49	8772	342117
50	8886	339586
51	8992	336866
52	9110	334684
53	9247	333253
54	9355	330847
55	9461	328441
56	9680	329971
57	9785	327650
58	9883	325165
59	9988	322957
60	10202	324303
61	10328	322858
62	10467	321823
63	10587	320259
64	10686	318118
65	10822	317143
66	10917	314980
67	11006	312724
68	11118	311150
69	11331	312430
70	11450	311086
71	11551	309328
72	11652	307606
73	11749	305793
74	11893	305263
75	12023	304377
76	12148	303395
77	12407	305722
78	12523	304521
79	12638	303314
80	12755	302198
81	12855	300698
82	12956	299255
83	13080	298352
84	13187	297104
85	13280	295575
86	13423	295168
87	13546	294318
88	13658	293264
89	13761	292053
90	13871	291000
91	13976	289861
92	14140	289946
93	14256	289068
94	14365	288063
95	14475	287096
96	14587	286194
97	14698	285276
98	14898	286088
99	15094	286789
100	15260	286935
101	15361	285835
102	15503	285526
103	15667	285632
104	15805	285251
105	15901	284120
106	16001	283096
107	16168	283248
108	16268	282244
109	16382	281473
110	16495	280714
111	16604	279906
112	16707	279005
113	16850	278774
114	16964	278063
115	17103	277792
116	17261	277807
117	17356	276813
118	17460	275993
119	17567	275224
120	17668	274370
121	17805	274092
122	17963	274124
123	18096	273776
124	18205	273084
125	18313	272376
126	18463	272295
127	18569	271577
128	18672	270816
129	18794	270356
130	18892	269538
131	18992	268767
132	19093	268031
133	19195	267302
134	19295	266561
135	19433	266354
136	19529	265571
137	19645	265065
138	19756	264505
139	19873	264038
140	20001	263702
141	20104	263061
142	20223	262628
143	20335	262098
144	20441	261513
145	20557	261057
146	20666	260511
147	20805	260353
148	20904	259693
149	21034	259429
150	21138	258841
151	21283	258759
152	21379	258094
153	21488	257578
154	21588	256970
155	21691	256407
156	22097	259402
157	22245	259347
158	22367	258981
159	22560	259443
160	22666	258904
161	22802	258708
162	22920	258307
163	23141	259071
164	23248	258555
165	23363	258125
166	23496	257897
167	23609	257454
168	23731	257119
169	23861	256858
170	23988	256575
171	24095	256083
172	24217	255748
173	24375	255800
174	24482	255315
175	24601	254960
176	24711	254513
177	24838	254244
178	24943	253759
179	25049	253276
180	25267	253935
181	25381	253538
182	25496	253151
183	25608	252748
184	25710	252239
185	25821	251827
186	25935	251452
187	26046	251039
188	26171	250778
189	26278	250335
190	26383	249880
191	26524	249775
192	26650	249518
193	26761	249133
194	26863	248661
195	27007	248576
196	27112	248139
197	27223	247764
198	27344	247472
199	27458	247123
200	27568	246747
201	27761	247104
202	27909	247060
203	28036	246827
204	28146	246454
205	28257	246085
206	28362	245670
207	28472	245303
208	28640	245433
209	28758	245135
210	28897	245009
211	29060	245097
212	29198	244969
213	29336	244837
214	29452	244522
215	29573	244254
216	29687	243932
217	29792	243532
218	29930	243404
219	30066	243265
220	30184	242975
221	30299	242672
222	30432	242503
223	30562	242313
224	30690	242110
225	30823	241947
226	30940	241661
227	31056	241365
228	31182	241153
229	31299	240868
