iter	Accuracy	Logloss
0	0.8714673913	0.5925969663
1	0.8758423913	0.5224374788
2	0.8802038043	0.465759012
3	0.88203125	0.4249702785
4	0.883763587	0.3929977815
5	0.8842595109	0.370965815
6	0.8853872283	0.3518153713
7	0.9003804348	0.3143921429
8	0.9047961957	0.2951474928
9	0.9086277174	0.2759678584
10	0.90921875	0.2691747782
11	0.90953125	0.2638361657
12	0.9118002717	0.2541970958
13	0.9130434783	0.2470966638
14	0.9133355978	0.2417292852
15	0.9140013587	0.2372199017
16	0.91453125	0.2336347762
17	0.9158559783	0.2289762547
18	0.9170652174	0.2249776558
19	0.9174320652	0.2229710322
20	0.9185054348	0.2191343623
21	0.9189538043	0.2167905725
22	0.9197961957	0.2143834918
23	0.920455163	0.2126961086
24	0.9208016304	0.2112320344
25	0.9212567935	0.2098490176
26	0.9216983696	0.2086398315
27	0.9219293478	0.2069166233
28	0.922669837	0.2048719191
29	0.9231182065	0.2034565005
30	0.9236684783	0.2024386066
31	0.9237771739	0.2014802485
32	0.9238586957	0.2005825673
33	0.9243206522	0.1995464557
34	0.924388587	0.1988463427
35	0.9247078804	0.1980351589
36	0.9249048913	0.1974336309
37	0.9252513587	0.196704964
38	0.9253736413	0.1962745335
39	0.9257472826	0.194705386
40	0.9259918478	0.194020943
41	0.9261888587	0.193382993
42	0.9264741848	0.1927190101
43	0.9266372283	0.1920959871
44	0.926861413	0.1917027349
45	0.9270040761	0.1911772886
46	0.9272282609	0.1908316173
47	0.9272146739	0.1903993955
48	0.9274116848	0.1899153336
49	0.9275951087	0.1893831469
50	0.9277921196	0.1885774032
51	0.9279415761	0.1882218203
52	0.9281589674	0.1880097099
53	0.9282540761	0.1875775014
54	0.9284782609	0.187300906
55	0.9288451087	0.1865980198
56	0.9289809783	0.1863056747
57	0.9290625	0.1859105649
58	0.9293478261	0.1853781261
59	0.9297554348	0.1849031531
60	0.9298369565	0.1846186232
61	0.9299728261	0.1843949691
62	0.9302513587	0.1834777832
63	0.9304619565	0.1831006523
64	0.9304755435	0.1827273294
65	0.9306589674	0.1824852587
66	0.9307269022	0.1822504989
