iter	Passed	Remaining
0	265	797250
1	368	553117
2	447	446599
3	513	384714
4	606	363122
5	724	361485
6	792	339006
7	853	319334
8	922	306547
9	994	297477
10	1126	306129
11	1268	315799
12	1438	330485
13	1547	330022
14	1684	335237
15	1831	341535
16	1973	346219
17	2115	350386
18	2216	347805
19	2365	352409
20	2512	356405
21	2618	354481
22	2734	353968
23	2865	355325
24	2991	356024
25	3132	358327
26	3355	369495
27	3517	373406
28	3601	369003
29	3759	372179
30	3861	369867
31	3991	370220
32	4112	369720
33	4256	371298
34	4363	369670
35	4438	365396
36	4564	365536
37	4641	361820
38	4774	362471
39	4875	360755
40	5031	363095
41	5118	360493
42	5219	358918
43	5350	359470
44	5404	354910
45	5532	355298
46	5601	351967
47	5706	350919
48	5822	350672
49	5930	349890
50	6111	353412
51	6340	359436
52	6533	363260
53	6586	359302
54	6661	356710
55	6767	355791
56	6881	355318
57	6975	353833
58	7058	351826
59	7112	348528
60	7191	346504
61	7246	343397
62	7344	342383
63	7395	339258
64	7451	336458
65	7514	334038
66	7596	332545
67	7644	329606
68	7713	327666
69	7852	328667
70	8056	332347
71	8105	329606
72	8181	328034
73	8227	325301
74	8270	322532
75	8323	320240
76	8372	317810
77	8429	315772
78	8505	314485
79	8643	315493
80	8704	313687
81	8836	314448
82	8886	312303
83	9116	316482
84	9163	314255
85	9246	313288
86	9319	312044
87	9435	312215
88	9549	312345
89	9593	310200
90	9643	308288
91	9724	307378
92	9850	307908
93	9897	305975
94	9941	304000
95	9996	302397
96	10044	300624
97	10092	298846
98	10162	297802
99	10285	298265
100	10355	297242
101	10411	295801
102	10454	294059
103	10507	292583
104	10738	296078
105	10804	294987
106	10959	296318
107	11023	295193
108	11069	293590
109	11120	292155
110	11164	290573
111	11226	289472
112	11272	288002
113	11316	286487
114	11398	285954
115	11630	289165
116	11732	289100
117	11778	287669
118	11990	290295
119	12107	290580
120	12168	289538
121	12230	288517
122	12286	287392
123	12346	286354
124	12400	285220
125	12451	284007
126	12592	284879
127	12651	283858
128	12701	282676
129	12764	281799
130	12829	280968
131	13045	283449
132	13100	282408
133	13171	281708
134	13224	280661
135	13288	279847
136	13354	279077
137	13409	278101
138	13482	277504
139	13555	276915
140	13609	275958
141	13787	277505
142	13843	276588
143	13896	275613
144	13946	274600
145	14009	273850
146	14084	273350
147	14368	276879
148	14454	276580
149	14499	275494
150	14629	276025
151	14715	275728
152	14776	274950
153	14832	274116
154	14933	274097
155	15072	274776
156	15127	273929
157	15219	273752
158	15276	272954
159	15337	272239
160	15396	271494
161	15521	271914
162	15585	271264
163	15690	271323
164	15759	270783
165	15849	270588
166	15898	269695
167	15981	269394
168	16048	268843
169	16140	268685
170	16300	269667
