iter	Accuracy	Logloss
0	0.8635897362	0.6252545453
1	0.8768821331	0.5673165212
2	0.8788117903	0.520800866
3	0.8803397344	0.4801901905
4	0.8846724963	0.4457137086
5	0.8885389841	0.4169084249
6	0.8894643587	0.3959651548
7	0.8906694978	0.3767133609
8	0.8908847012	0.3603868483
9	0.8910066498	0.3475450896
10	0.8983737796	0.3247346777
11	0.9009777408	0.311277824
12	0.902505685	0.3012320563
13	0.9048370552	0.2885047365
14	0.9058054705	0.2809680219
15	0.9067308451	0.2745480953
16	0.9070751705	0.2694947383
17	0.907692087	0.265110109
18	0.9076203525	0.2621976336
19	0.9082372689	0.2584346844
20	0.9081942282	0.2549499865
21	0.9089330933	0.2518644797
22	0.9094782752	0.2487859782
23	0.9098369476	0.2461039217
24	0.9102314871	0.243590161
25	0.9105471188	0.2415221628
26	0.9109273115	0.2397886826
27	0.9115585748	0.2374200161
28	0.9118239923	0.2359581461
29	0.9122543991	0.2341138697
30	0.9124337353	0.2325381353
31	0.9131008658	0.2305803728
32	0.9137536495	0.2281141642
33	0.9142773111	0.2264417843
34	0.9143490456	0.2255748201
35	0.9148153196	0.2242360195
36	0.9151381247	0.2234990319
37	0.915303114	0.222244085
38	0.9156904801	0.2211861137
39	0.9158841632	0.220161894
40	0.9160993666	0.2194942451
41	0.9163360903	0.2189079419
42	0.9166875892	0.2179442202
43	0.9171036491	0.2169195381
44	0.9173690667	0.2163939711
45	0.9174910153	0.2157907851
46	0.9176703514	0.2149448928
47	0.9178353407	0.2138748023
48	0.9180146769	0.2130660382
49	0.9181724927	0.2126589171
50	0.9184092164	0.2118965842
51	0.9185598588	0.2112775522
52	0.918947225	0.2104367178
53	0.9192198159	0.2097265325
54	0.9194063255	0.2090137973
55	0.9196645696	0.2086173523
56	0.9199371606	0.207812273
57	0.9201308437	0.2074489632
58	0.9202671392	0.2071259199
59	0.9203962612	0.2064073983
60	0.9204679957	0.2057864748
61	0.920489516	0.2054763914
