iter	Accuracy	Logloss
0	0.8635897362	0.6252545453
1	0.8768821331	0.5673164651
2	0.8788117903	0.5208005858
3	0.8803397344	0.4801897982
4	0.8846724963	0.4457135685
5	0.8885389841	0.4169082848
6	0.8894643587	0.3959650987
7	0.8906694978	0.3767133609
8	0.8908847012	0.3603869043
9	0.8910066498	0.3475449775
10	0.8983737796	0.3247346217
11	0.9009777408	0.3112777399
12	0.902505685	0.3012320283
13	0.9048370552	0.2885047365
14	0.9058054705	0.2809679659
15	0.9067308451	0.2745480672
16	0.9070751705	0.2694947103
17	0.907692087	0.265110081
18	0.9076203525	0.2621976056
19	0.9082372689	0.2584347405
20	0.9081942282	0.2549499865
21	0.9089330933	0.2518645077
22	0.9094782752	0.2487859782
23	0.9098369476	0.2461039217
24	0.9102314871	0.243590133
25	0.9105471188	0.2415221908
26	0.9109273115	0.2397886546
27	0.9112285962	0.2382479327
28	0.9113505448	0.2368478496
29	0.9117522578	0.2349428091
30	0.9122830929	0.2317854418
31	0.9128282749	0.2299766544
32	0.9130147845	0.229001612
33	0.9133591099	0.228036237
34	0.9134667116	0.2271826669
35	0.913954506	0.2258260448
36	0.9142127501	0.2249430524
37	0.9145140348	0.2241219309
38	0.9151452982	0.222492998
39	0.9153461547	0.2215096054
40	0.9156904801	0.2208381035
41	0.9161567542	0.2197091963
42	0.9162284886	0.2185222711
43	0.9165441203	0.2178415082
44	0.9168812723	0.2172200383
45	0.9170247412	0.216625623
46	0.917182557	0.2156968858
47	0.9172829853	0.2152409236
48	0.9176990452	0.2146069002
49	0.9178066469	0.2141228746
50	0.9182514006	0.2129886154
51	0.9183661758	0.212456029
52	0.9186531136	0.2119150222
53	0.9189257046	0.2112643962
54	0.9190476532	0.2106020853
55	0.9191624284	0.2101390197
56	0.9194350193	0.2092152983
57	0.9195713148	0.2088504193
58	0.9198582527	0.2085251623
59	0.9200375889	0.2080011084
60	0.9200662826	0.2077629696
61	0.9201882312	0.2074986589
62	0.9204034346	0.2071468097
63	0.9204608222	0.2067927749
64	0.9207549335	0.2061869689
65	0.9208697087	0.2054642162
66	0.9209844838	0.2050601494
67	0.9211996872	0.2047356069
68	0.9212570748	0.204453811
69	0.9214507579	0.2039344646
70	0.921630094	0.2036705883
71	0.9217305223	0.2033613034
72	0.921902685	0.2027315252
73	0.9219959398	0.2020341037
74	0.9221824494	0.2015852168
75	0.9222541839	0.2011114191
76	0.9223474387	0.2007996264
77	0.9226056828	0.2003867188
78	0.9227491517	0.2001265133
79	0.9227706721	0.1995948936
80	0.9230289162	0.1992430725
81	0.9231149975	0.1989464673
82	0.9232369461	0.1983648857
83	0.9233947619	0.198066333
84	0.9234306292	0.197917526
85	0.9234162823	0.1976379297
86	0.9237319139	0.1972726303
87	0.9237749546	0.1971604051
88	0.9239686377	0.1966803306
89	0.9240905863	0.1965441052
90	0.9241910145	0.1961824906
91	0.9241623208	0.1960191125
92	0.9242842693	0.1956075781
93	0.9243846976	0.1952192732
94	0.9244492586	0.1950245954
95	0.9245927276	0.1947174262
96	0.9246572886	0.194607835
97	0.9248940123	0.1943515804
98	0.9250374813	0.1941810989
99	0.9250590016	0.1939039545
100	0.9250805219	0.1937529198
101	0.9251092157	0.1935717202
102	0.9252024705	0.1933780232
103	0.9252168174	0.1932933989
104	0.9254176739	0.1931510788
105	0.9254678881	0.1928057306
106	0.9256257039	0.1926255258
107	0.9256974384	0.192332059
108	0.9257835197	0.1921950349
109	0.9257619994	0.192012042
110	0.9259269887	0.1918853718
111	0.9260417638	0.1914808707
112	0.9261278452	0.1913483721
113	0.9261780593	0.1911590603
114	0.9262211	0.1910185196
115	0.9265080378	0.1904658139
116	0.9265510785	0.1903209159
117	0.9267017209	0.1900950784
118	0.9267375881	0.1898274893
119	0.9269527915	0.1894724036
120	0.9269671384	0.1893540978
121	0.9270819136	0.1892617117
122	0.9271679949	0.1891270554
123	0.9273042904	0.1888200823
124	0.9273258108	0.188705097
125	0.9274692797	0.1885927177
126	0.9275338407	0.1884417811
127	0.9275266673	0.1882701368
128	0.9275410142	0.1880787374
129	0.9276270955	0.1879750727
130	0.9277705645	0.18772651
131	0.9277490441	0.1876334794
132	0.9277777379	0.1875294784
133	0.9278422989	0.1874234459
134	0.9279570741	0.1871768306
135	0.9279929413	0.1870872886
136	0.9280575023	0.1868254298
137	0.928244012	0.1863459297
138	0.9282296651	0.1860350897
139	0.9282870526	0.1859162795
140	0.9284807357	0.1855352462
141	0.9285739905	0.1853567226
142	0.9286026843	0.1852662139
143	0.9287246329	0.1850719144
144	0.9288537549	0.1847358132
145	0.9288107143	0.1846177035
146	0.9287963674	0.1843702336
147	0.9288824487	0.184106035
148	0.9288967956	0.1840221533
149	0.9288967956	0.1839488636
150	0.9289398363	0.1838580467
151	0.9291406928	0.1837409318
152	0.9291622132	0.1836284263
