iter	Passed	Remaining
0	186	559331
1	294	440950
2	378	378294
3	447	335213
4	557	333924
5	696	347572
6	777	332454
7	860	321881
8	960	319320
9	1048	313591
10	1206	327766
11	1392	346685
12	1535	352817
13	1674	357148
14	1833	364926
15	2001	373290
16	2156	378349
17	2298	380800
18	2402	376967
19	2558	381265
20	2710	384533
21	2809	380277
22	2950	381841
23	3098	384193
24	3247	386411
25	3431	392479
26	3724	410080
27	3893	413286
28	4002	410001
29	4153	411227
30	4294	411255
31	4457	413451
32	4648	417969
33	4780	417057
34	4878	413240
35	4958	408289
36	5121	410100
37	5217	406694
38	5378	408352
39	5503	407283
40	5640	407094
41	5720	402916
42	5866	403448
43	5977	401570
44	6054	397578
45	6207	398622
46	6295	395561
47	6403	393837
48	6519	392643
49	6668	393413
50	6946	401661
51	7122	403777
52	7369	409749
53	7423	405009
54	7539	403713
55	7629	401102
56	7774	401414
57	7881	399782
58	7959	396756
59	8056	394768
60	8160	393162
61	8222	389664
62	8285	386248
63	8370	384010
64	8428	380582
65	8578	381348
66	8808	385608
67	8870	382479
68	8937	379663
69	8993	376423
70	9048	373271
71	9165	372715
72	9242	370579
73	9408	372022
74	9458	368888
75	9511	365939
76	9572	363395
77	9634	360940
78	9701	358692
79	9853	359635
80	9951	358625
81	10083	358832
82	10246	360106
83	10401	361077
84	10464	358880
85	10604	359321
86	10682	357692
87	10733	355193
88	10813	353682
89	10864	351290
90	10998	351597
91	11056	349487
92	11116	347467
93	11171	345375
94	11270	344655
95	11364	343765
96	11414	341614
97	11555	342173
98	11633	340896
99	11819	342751
100	11898	341511
101	11960	339815
102	12081	339801
103	12128	337728
104	12238	337431
105	12328	336596
106	12403	335368
107	12480	334194
108	12535	332480
109	12595	330909
110	12646	329155
111	12719	327981
112	12770	326264
113	12835	324928
114	12897	323565
115	13158	327146
116	13250	326501
117	13314	325201
118	13375	323813
119	13497	323935
120	13558	322602
121	13610	321075
122	13703	320525
123	13764	319247
124	13820	317867
125	13873	316450
126	13937	315298
127	14001	314169
128	14070	313160
129	14142	312217
130	14242	311921
131	14325	311261
132	14437	311210
133	14514	310431
134	14589	309616
135	14653	308586
136	14763	308527
137	14909	309201
138	14974	308212
139	15043	307317
140	15218	308578
141	15307	308084
142	15384	307373
143	15469	306819
144	15631	307778
145	15719	307276
146	15784	306349
147	15988	308107
148	16030	306732
149	16122	306326
150	16180	305278
151	16252	304519
152	16342	304096
153	16459	304185
154	16604	304780
155	16690	304284
156	16739	303128
157	16787	301959
158	16838	300869
159	16901	299994
160	16992	299635
161	17175	300892
162	17247	300186
163	17299	299155
164	17374	298517
165	17435	297668
166	17532	297415
167	17649	297528
168	17726	296943
169	17847	297107
170	18111	299635
171	18167	298710
172	18220	297745
173	18292	297091
174	18340	296064
175	18400	295251
176	18454	294326
177	18518	293597
178	18585	292904
179	18659	292325
180	18719	291543
181	18787	290889
182	18849	290165
183	18913	289455
184	19033	289611
185	19115	289199
186	19184	288591
187	19240	287788
188	19289	286890
189	19343	286085
190	19405	285393
191	19517	285447
192	19603	285112
193	19661	284386
194	19755	284178
195	19819	283536
196	19870	282722
197	19944	282245
198	20011	281672
199	20070	280982
200	20132	280355
201	20184	279581
202	20242	278901
203	20342	278810
204	20471	279110
205	20553	278774
206	20656	278710
207	20716	278082
208	20780	277508
209	20831	276757
210	20916	276474
211	20991	276056
212	21073	275737
213	21146	275295
214	21204	274677
215	21269	274146
216	21372	274104
217	21420	273359
218	21479	272760
219	21532	272095
220	21616	271820
221	21871	273687
222	21942	273246
223	22001	272665
224	22054	272002
225	22136	271709
226	22201	271208
227	22252	270541
228	22345	270394
229	22416	269974
230	22487	269556
231	22564	269212
232	22669	269210
233	22737	268771
234	22809	268379
235	22884	268016
236	22943	267479
237	23011	267047
238	23076	266588
239	23141	266126
240	23191	265497
241	23245	264925
242	23304	264405
243	23363	263889
244	23424	263400
245	23473	262794
246	23536	262327
247	23610	261998
248	23708	261931
249	23771	261489
250	23830	261000
251	23976	261455
252	24054	261174
253	24130	260880
254	24191	260417
255	24248	259913
256	24301	259369
257	24359	258893
258	24429	258536
259	24496	258152
260	24567	257815
261	24624	257340
262	24679	256830
263	24745	256449
264	24813	256093
265	24875	255679
266	24944	255327
267	24998	254831
268	25074	254565
269	25168	254477
270	25223	253999
271	25271	253462
272	25321	252932
273	25387	252575
274	25464	252332
275	25532	251994
276	25594	251603
277	25658	251235
278	25721	250858
279	25894	251550
280	26008	251666
281	26111	251674
282	26290	252402
283	26394	252422
284	26454	252011
285	26516	251627
286	26582	251279
287	26635	250817
288	26687	250343
289	26759	250059
290	26818	249656
291	26880	249290
292	26933	248840
293	26990	248422
294	27061	248135
295	27118	247727
296	27223	247760
297	27281	247360
298	27335	246936
299	27429	246869
300	27510	246679
301	27571	246314
302	27640	246032
303	27939	247776
304	27992	247344
305	28057	247020
306	28108	246570
307	28176	246270
308	28242	245955
309	28295	245529
310	28349	245122
311	28407	244745
312	28544	245043
313	28617	244800
314	28695	244591
315	28752	244217
316	28856	244233
317	28910	243829
318	28962	243411
319	29018	243027
320	29142	243219
321	29193	242795
322	29254	242458
323	29358	242478
324	29411	242081
325	29506	242025
326	29577	241774
327	29644	241497
328	29705	241163
329	29778	240937
330	29859	240769
331	29957	240739
332	30045	240637
333	30274	241652
334	30358	241508
335	30427	241249
336	30503	241043
337	30607	241059
338	30684	240862
339	30759	240650
340	30816	240292
341	30876	239967
342	30935	239634
343	31000	239349
344	31076	239150
345	31155	238977
346	31267	239053
347	31333	238779
348	31491	239206
349	31538	238788
350	31603	238508
351	31659	238165
352	31716	237829
353	31780	237543
354	31833	237181
355	31887	236827
356	31942	236483
357	32005	236199
358	32056	235822
359	32117	235528
360	32169	235165
361	32223	234824
362	32277	234482
363	32339	234197
364	32474	234440
365	32586	234514
366	32656	234289
367	32769	234369
368	32842	234169
369	32899	233850
370	32960	233567
371	33040	233413
372	33117	233243
373	33190	233042
374	33264	232848
375	33423	233255
376	33485	232979
377	33668	233543
378	33739	233329
379	33846	233366
380	33924	233200
381	33996	232991
382	34066	232772
383	34129	232505
384	34201	232302
385	34265	232044
386	34332	231813
387	34501	232259
388	34563	231992
389	34632	231770
390	34697	231520
391	34761	231268
392	34833	231073
393	34907	230888
394	34980	230695
395	35039	230408
396	35095	230108
397	35182	230012
398	35241	229729
399	35321	229591
400	35428	229622
401	35536	229664
402	35603	229437
403	35673	229228
404	35732	228954
405	35804	228762
406	35862	228478
407	35929	228259
408	36004	228090
409	36124	228200
410	36249	228344
411	36308	228075
412	36369	227813
413	36425	227528
414	36485	227264
415	36558	227086
416	36622	226847
417	36677	226559
418	36736	226294
419	36803	226079
420	36873	225882
421	36946	225704
422	37011	225478
423	37077	225260
424	37196	225366
425	37259	225129
426	37335	224974
427	37395	224723
428	37460	224498
429	37520	224250
430	37583	224019
431	37649	223803
432	37704	223528
433	37771	223320
434	37837	223113
435	37903	222901
436	37986	222791
437	38058	222615
438	38119	222380
439	38182	222151
440	38261	222022
441	38319	221765
442	38378	221518
443	38447	221332
444	38516	221146
445	38601	221047
446	38660	220806
447	38729	220622
448	38799	220437
449	38897	220416
450	38964	220220
451	39091	220364
452	39149	220117
453	39234	220024
454	39297	219809
455	39363	219606
456	39429	219406
457	39507	219274
458	39579	219108
459	39636	218863
460	39702	218666
461	39784	218558
462	39860	218414
463	39932	218249
464	39997	218051
465	40161	218389
466	40323	218715
467	40450	218847
468	40558	218875
469	40633	218731
470	40702	218549
471	40782	218427
472	40882	218413
473	40969	218333
474	41047	218202
475	41108	217977
476	41172	217773
477	41247	217627
478	41311	217422
479	41380	217248
480	41470	217182
481	41534	216976
482	41633	216957
483	41700	216773
484	41783	216671
485	41871	216594
486	41958	216512
487	42036	216385
488	42101	216190
489	42166	215993
490	42315	216232
491	42382	216048
492	42475	215994
493	42546	215831
494	42612	215647
495	42680	215468
496	42747	215284
497	42882	215443
498	42954	215291
499	43023	215117
500	43111	215041
501	43181	214877
502	43245	214679
503	43312	214500
504	43445	214646
505	43511	214462
506	43596	214371
507	43668	214216
508	43731	214016
509	43802	213858
510	43888	213772
511	43953	213587
512	44028	213450
513	44127	213425
514	44200	213280
515	44289	213209
516	44359	213044
517	44425	212863
518	44493	212696
519	44566	212549
520	44642	212416
521	44709	212239
522	44790	212133
523	44879	212066
524	44960	211958
525	45027	211782
526	45105	211663
527	45257	211887
528	45342	211799
529	45464	211882
530	45551	211800
531	45613	211603
532	45676	211413
533	45753	211288
534	45814	211087
535	45928	211133
536	46010	211033
537	46094	210937
538	46158	210753
539	46239	210646
540	46319	210533
541	46462	210712
542	46623	210964
